name_of_university,year_of_education,type_of_university,city,onlisans_male,onlisans_female,lisans_male,lisans_female,master_male,master_female,doctorate_male,doctorate_female,total_male,total_female,total_total
ISTANBUL BILIM UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,633,678,398,1261,22,119,0,9,1053,2067,3120
ISTANBUL ESENYURT UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,1357,1252,1926,1649,606,346,0,0,3889,3247,7136
ISTANBUL ESENYURT UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,1156,1148,1770,1506,2544,451,0,0,5470,3105,8575
ISTANBUL ESENYURT UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,902,937,1241,1066,1237,378,0,0,3380,2381,5761
ISTANBUL ESENYURT UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,538,532,646,611,746,262,0,0,1930,1405,3335
ISTANBUL ESENYURT UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,738,887,726,807,246,263,0,0,1710,1957,3667
ISTANBUL GEDIK UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,948,483,1462,967,420,194,49,14,2879,1658,4537
ISTANBUL GEDIK UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,1068,526,1385,855,438,101,48,8,2939,1490,4429
ISTANBUL GEDIK UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,1211,550,1180,733,424,110,37,4,2852,1397,4249
ISTANBUL GELISIM UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,4985,4320,6764,5630,1130,769,109,32,12988,10751,23739
ISTANBUL GELISIM UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,4635,4581,5956,5304,1544,532,103,24,12238,10441,22679
ISTANBUL GELISIM UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,5077,5256,5118,4707,1792,579,87,23,12074,10565,22639
ISTANBUL GELISIM UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,4344,4455,3723,3285,1471,458,72,20,9610,8218,17828
ISTANBUL GELISIM UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,3224,3480,2496,2031,1558,533,49,9,7327,6053,13380
ISTANBUL KAVRAM MESLEK YUKSEKOKULU,2019-2018,VAKIF MYO,ISTANBUL,995,982,0,0,0,0,0,0,995,982,1977
ISTANBUL KAVRAM MESLEK YUKSEKOKULU,2017-2016,VAKIF MYO,ISTANBUL,1983,2010,0,0,0,0,0,0,1983,2010,3993
ISTANBUL KAVRAM MESLEK YUKSEKOKULU,2016-2015,VAKIF MYO,ISTANBUL,1371,1332,0,0,0,0,0,0,1371,1332,2703
ISTANBUL KAVRAM MESLEK YUKSEKOKULU,2015-2014,VAKIF MYO,ISTANBUL,908,960,0,0,0,0,0,0,908,960,1868
ISTANBUL KEMERBURGAZ UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,548,693,2438,2538,777,246,47,17,3810,3494,7304
ISTANBUL KEMERBURGAZ UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,326,479,3632,3147,443,167,48,23,4449,3816,8265
ISTANBUL KEMERBURGAZ UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,106,191,1489,1621,326,127,1,0,1922,1939,3861
ISTANBUL KENT UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,101,344,96,540,671,351,0,0,868,1235,2103
ISTANBUL KENT UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,25,93,33,232,631,26,0,0,689,351,1040
ISTANBUL KULTUR UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,1726,1333,5853,5218,843,520,132,72,8554,7143,15697
ISTANBUL KULTUR UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,1532,1254,5895,5402,866,442,134,65,8427,7163,15590
ISTANBUL KULTUR UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,1580,1334,5476,4986,814,409,120,54,7990,6783,14773
ISTANBUL KULTUR UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,1467,1257,4522,4059,626,369,120,45,6735,5730,12465
ISTANBUL KULTUR UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,1341,1139,4160,3589,569,349,117,48,6187,5125,11312
ISTANBUL MEDENIYET UNIVERSITESI,2019-2018,DEVLET,ISTANBUL,0,0,2580,3304,860,492,172,146,3612,3942,7554
ISTANBUL MEDENIYET UNIVERSITESI,2018-2017,DEVLET,ISTANBUL,0,0,1561,2042,1045,401,148,104,2754,2547,5301
ISTANBUL MEDENIYET UNIVERSITESI,2017-2016,DEVLET,ISTANBUL,0,0,1077,1298,1229,391,103,61,2409,1750,4159
ISTANBUL MEDENIYET UNIVERSITESI,2016-2015,DEVLET,ISTANBUL,0,0,551,703,580,259,77,41,1208,1003,2211
ISTANBUL MEDENIYET UNIVERSITESI,2015-2014,DEVLET,ISTANBUL,0,0,320,452,405,221,51,28,776,701,1477
ISTANBUL MEDIPOL UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,4180,7169,5522,11904,508,847,216,270,10426,20190,30616
ISTANBUL MEDIPOL UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,3781,6901,4388,9690,513,752,179,208,8861,17551,26412
ISTANBUL MEDIPOL UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,3246,5911,3036,6914,442,689,110,125,6834,13639,20473
ISTANBUL MEDIPOL UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,1482,2665,1839,4153,339,546,64,81,3724,7445,11169
ISTANBUL MEDIPOL UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,254,559,1043,2412,223,365,42,44,1562,3380,4942
ISTANBUL OKAN UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,2351,2174,5379,5010,5593,1701,224,154,13547,9039,22586
ISTANBUL RUMELI UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,624,762,223,238,489,107,0,0,1336,1107,2443
ISTANBUL RUMELI UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,473,597,111,118,307,44,0,0,891,759,1650
ISTANBUL RUMELI UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,296,332,19,29,0,0,0,0,315,361,676
ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,0,0,2750,4540,1609,994,440,120,4799,5654,10453
ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,0,0,2381,4057,1641,782,381,77,4403,4916,9319
ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,0,0,1709,3238,1278,529,249,50,3236,3817,7053
ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,0,0,1091,2188,872,341,136,30,2099,2559,4658
ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,0,0,572,1235,474,175,51,10,1097,1420,2517
ISTANBUL SEHIR UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,336,393,2384,2135,454,365,13,28,3187,2921,6108
ISTANBUL SEHIR UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,185,278,2229,1909,435,286,14,17,2863,2490,5353
ISTANBUL SEHIR UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,85,113,2131,1789,467,236,12,15,2695,2153,4848
ISTANBUL SEHIR UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,0,0,1847,1510,444,201,12,9,2303,1720,4023
ISTANBUL SEHIR UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,0,0,1548,1267,375,195,2,6,1925,1468,3393
ISTANBUL SISLI MESLEK YUKSEKOKULU,2019-2018,VAKIF MYO,ISTANBUL,1855,2190,0,0,0,0,0,0,1855,2190,4045
ISTANBUL SISLI MESLEK YUKSEKOKULU,2018-2017,VAKIF MYO,ISTANBUL,1353,1665,0,0,0,0,0,0,1353,1665,3018
ISTANBUL SISLI MESLEK YUKSEKOKULU,2017-2016,VAKIF MYO,ISTANBUL,1085,1435,0,0,0,0,0,0,1085,1435,2520
ISTANBUL SISLI MESLEK YUKSEKOKULU,2016-2015,VAKIF MYO,ISTANBUL,899,1360,0,0,0,0,0,0,899,1360,2259
ISTANBUL SISLI MESLEK YUKSEKOKULU,2015-2014,VAKIF MYO,ISTANBUL,597,1144,0,0,0,0,0,0,597,1144,1741
ISTANBUL TEKNIK UNIVERSITESI,2019-2018,DEVLET,ISTANBUL,41,6,17871,8362,5633,3580,2208,1555,25753,13503,39256
ISTANBUL TEKNIK UNIVERSITESI,2018-2017,DEVLET,ISTANBUL,44,6,17171,8031,6869,4173,2182,1535,26266,13745,40011
ISTANBUL TEKNIK UNIVERSITESI,2017-2016,DEVLET,ISTANBUL,47,7,15978,7442,7299,4535,2399,1622,25723,13606,39329
ISTANBUL TEKNIK UNIVERSITESI,2016-2015,DEVLET,ISTANBUL,50,7,15918,7461,6865,4222,2205,1470,25038,13160,38198
ISTANBUL TEKNIK UNIVERSITESI,2015-2014,DEVLET,ISTANBUL,55,7,15188,7031,6420,3907,2005,1309,23668,12254,35922
ISTANBUL TICARET UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,120,90,3468,2729,1252,808,325,170,5165,3797,8962
ISTANBUL TICARET UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,125,95,3278,2572,1506,929,354,145,5263,3741,9004
ISTANBUL TICARET UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,143,103,3158,2620,1204,818,300,116,4805,3657,8462
ISTANBUL TICARET UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,210,147,2911,2393,1099,873,291,104,4511,3517,8028
ISTANBUL TICARET UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,306,215,2645,2235,941,816,217,82,4109,3348,7457
ISTANBUL UNIVERSITESI,2019-2018,DEVLET,ISTANBUL,28889,43361,86953,126988,6950,6620,3135,2734,125927,179703,305630
ISTANBUL UNIVERSITESI,2018-2017,DEVLET,ISTANBUL,28651,38251,85185,94995,10462,9221,4016,3683,128314,146150,274464
ISTANBUL UNIVERSITESI,2017-2016,DEVLET,ISTANBUL,23324,30120,79692,89019,12190,9584,4263,3581,119469,132304,251773
ISTANBUL UNIVERSITESI,2016-2015,DEVLET,ISTANBUL,18333,22206,66375,67581,8756,8166,3796,3295,97260,101248,198508
ISTANBUL UNIVERSITESI,2015-2014,DEVLET,ISTANBUL,13626,14394,60798,62161,7990,7545,3573,3103,85987,87203,173190
ISTANBUL UNIVERSITESI-CERRAHPASA,2019-2018,DEVLET,ISTANBUL,7935,4483,10744,9785,1768,1910,944,1119,21391,17297,38688
ISTANBUL YENI YUZYIL UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,784,939,2611,2929,1218,368,34,15,4647,4251,8898
ISTANBUL YENI YUZYIL UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,735,892,2740,2984,1103,315,24,12,4602,4203,8805
ISTANBUL YENI YUZYIL UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,873,1051,2533,2817,1031,402,12,7,4449,4277,8726
ISTINYE UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,809,1216,1004,1987,234,198,0,0,2047,3401,5448
ISTINYE UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,501,694,324,837,161,73,0,0,986,1604,2590
ISTINYE UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,122,206,73,180,7,16,0,0,202,402,604
IZMIR BAKIRCAY UNIVERSITESI,2019-2018,DEVLET,IZMIR,25,40,338,428,0,0,0,0,363,468,831
IZMIR DEMOKRASI UNIVERSITESI,2019-2018,DEVLET,IZMIR,0,0,910,1055,152,120,2,2,1064,1177,2241
IZMIR DEMOKRASI UNIVERSITESI,2018-2017,DEVLET,IZMIR,0,0,66,90,113,31,0,0,179,121,300
IZMIR EKONOMI UNIVERSITESI,2019-2018,VAKIF,IZMIR,726,877,3483,3560,328,270,36,42,4573,4749,9322
IZMIR EKONOMI UNIVERSITESI,2018-2017,VAKIF,IZMIR,740,923,3602,3643,498,296,35,37,4875,4899,9774
IZMIR EKONOMI UNIVERSITESI,2017-2016,VAKIF,IZMIR,754,939,3619,3583,661,337,30,39,5064,4898,9962
IZMIR EKONOMI UNIVERSITESI,2016-2015,VAKIF,IZMIR,619,687,3827,4042,559,378,39,42,5044,5149,10193
IZMIR EKONOMI UNIVERSITESI,2015-2014,VAKIF,IZMIR,386,388,3022,3094,370,282,28,35,3806,3799,7605
IZMIR KATIP CELEBI UNIVERSITESI,2019-2018,DEVLET,IZMIR,222,426,4524,4822,1363,770,196,114,6305,6132,12437
IZMIR KATIP CELEBI UNIVERSITESI,2018-2017,DEVLET,IZMIR,167,399,3789,4071,1539,705,178,102,5673,5277,10950
IZMIR KATIP CELEBI UNIVERSITESI,2017-2016,DEVLET,IZMIR,154,393,3172,3351,1879,878,174,86,5379,4708,10087
IZMIR KATIP CELEBI UNIVERSITESI,2016-2015,DEVLET,IZMIR,61,237,2121,2299,965,674,110,64,3257,3274,6531
IZMIR KATIP CELEBI UNIVERSITESI,2015-2014,DEVLET,IZMIR,27,146,1500,1567,713,550,84,49,2324,2312,4636
IZMIR KAVRAM MESLEK YUKSEKOKULU,2019-2018,VAKIF MYO,ISTANBUL,250,360,0,0,0,0,0,0,250,360,610
IZMIR UNIVERSITESI,2016-2015,VAKIF,IZMIR,206,296,2310,2628,307,217,0,0,2823,3141,5964
IZMIR UNIVERSITESI,2015-2014,VAKIF,IZMIR,148,205,2045,2263,227,173,0,0,2420,2641,5061
IZMIR YUKSEK TEKNOLOJI ENSTITUSU,2019-2018,DEVLET,IZMIR,0,0,2051,1698,518,497,205,213,2774,2408,5182
IZMIR YUKSEK TEKNOLOJI ENSTITUSU,2018-2017,DEVLET,IZMIR,0,0,1916,1501,641,616,205,251,2762,2368,5130
IZMIR YUKSEK TEKNOLOJI ENSTITUSU,2017-2016,DEVLET,IZMIR,0,0,1701,1369,682,615,201,271,2584,2255,4839
IZMIR YUKSEK TEKNOLOJI ENSTITUSU,2016-2015,DEVLET,IZMIR,0,0,1529,1247,601,561,174,255,2304,2063,4367
IZMIR YUKSEK TEKNOLOJI ENSTITUSU,2015-2014,DEVLET,IZMIR,0,0,1451,1207,540,495,169,219,2160,1921,4081
KADIR HAS UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,239,225,2628,2625,339,342,177,69,3383,3261,6644
KADIR HAS UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,475,334,2626,2554,449,395,212,65,3762,3348,7110
KADIR HAS UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,512,343,2628,2437,449,353,212,59,3801,3192,6993
KADIR HAS UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,492,320,2463,2199,387,313,186,46,3528,2878,6406
KADIR HAS UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,445,317,2441,2097,334,278,170,48,3390,2740,6130
KAFKAS UNIVERSITESI,2019-2018,DEVLET,KARS,3057,2820,6780,6248,679,514,84,63,10600,9645,20245
KAFKAS UNIVERSITESI,2018-2017,DEVLET,KARS,2804,2500,6620,6004,794,557,73,51,10291,9112,19403
KAFKAS UNIVERSITESI,2017-2016,DEVLET,KARS,2778,2520,6271,5522,877,573,65,52,9991,8667,18658
KAFKAS UNIVERSITESI,2016-2015,DEVLET,KARS,2860,2490,5928,5086,714,463,69,56,9571,8095,17666
KAFKAS UNIVERSITESI,2015-2014,DEVLET,KARS,2724,2276,5405,4735,607,384,67,45,8803,7440,16243
KAHRAMANMARAS ISTIKLAL UNIVERSITESI,2019-2018,DEVLET,KAHRAMANMARAS,1167,321,0,0,0,0,0,0,1167,321,1488
KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,2019-2018,DEVLET,KAHRAMANMARAS,7414,5239,8834,8261,2365,1249,291,168,18904,14917,33821
KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,2018-2017,DEVLET,KAHRAMANMARAS,9673,5444,8423,7970,3266,1258,315,163,21677,14835,36512
KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,2017-2016,DEVLET,KAHRAMANMARAS,10015,5165,7825,7452,4232,1532,327,158,22399,14307,36706
KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,2016-2015,DEVLET,KAHRAMANMARAS,9340,4675,7374,6936,3505,1501,324,164,20543,13276,33819
KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,2015-2014,DEVLET,KAHRAMANMARAS,8152,4036,6800,6425,2492,1169,232,128,17676,11758,29434
KAPADOKYA MESLEK YUKSEKOKULU,2017-2016,VAKIF MYO,NEVSEHIR,1858,1960,0,0,0,0,0,0,1858,1960,3818
KAPADOKYA MESLEK YUKSEKOKULU,2016-2015,VAKIF MYO,NEVSEHIR,1540,1612,0,0,0,0,0,0,1540,1612,3152
KAPADOKYA MESLEK YUKSEKOKULU,2015-2014,VAKIF MYO,NEVSEHIR,907,923,0,0,0,0,0,0,907,923,1830
KAPADOKYA UNIVERSITESI,2019-2018,VAKIF,NEVSEHIR,2063,2029,100,185,52,19,0,0,2215,2233,4448
KAPADOKYA UNIVERSITESI,2018-2017,VAKIF,NEVSEHIR,2256,2077,0,0,0,0,0,0,2256,2077,4333
KARABUK UNIVERSITESI,2019-2018,DEVLET,KARABUK,8786,5840,20814,13010,1955,1187,369,89,31924,20126,52050
KARABUK UNIVERSITESI,2018-2017,DEVLET,KARABUK,8148,5258,20984,13595,1838,953,346,66,31316,19872,51188
KARABUK UNIVERSITESI,2017-2016,DEVLET,KARABUK,8281,5409,20623,13291,1863,808,319,50,31086,19558,50644
KARABUK UNIVERSITESI,2016-2015,DEVLET,KARABUK,7364,5278,19647,12140,1483,653,282,46,28776,18117,46893
KARABUK UNIVERSITESI,2015-2014,DEVLET,KARABUK,6102,4384,17124,10494,1267,518,245,42,24738,15438,40176
KARADENIZ TEKNIK UNIVERSITESI,2019-2018,DEVLET,TRABZON,2635,1552,16548,13043,1835,1490,700,519,21718,16604,38322
KARADENIZ TEKNIK UNIVERSITESI,2018-2017,DEVLET,TRABZON,7330,4454,19602,18453,3278,2413,889,673,31099,25993,57092
KARADENIZ TEKNIK UNIVERSITESI,2017-2016,DEVLET,TRABZON,7188,4314,19403,18423,3590,2477,843,638,31024,25852,56876
KARADENIZ TEKNIK UNIVERSITESI,2016-2015,DEVLET,TRABZON,6652,3837,19391,18203,3875,2771,801,594,30719,25405,56124
KARADENIZ TEKNIK UNIVERSITESI,2015-2014,DEVLET,TRABZON,6344,3489,19622,18178,3058,2371,755,560,29779,24598,54377
KARAMANOGLU MEHMETBEY UNIVERSITESI,2019-2018,DEVLET,KARAMAN,2575,3039,3622,4293,695,482,25,24,6917,7838,14755
KARAMANOGLU MEHMETBEY UNIVERSITESI,2018-2017,DEVLET,KARAMAN,3284,3140,3418,4044,610,355,9,12,7321,7551,14872
KARAMANOGLU MEHMETBEY UNIVERSITESI,2017-2016,DEVLET,KARAMAN,3282,2926,3261,3975,400,279,5,9,6948,7189,14137
KARAMANOGLU MEHMETBEY UNIVERSITESI,2016-2015,DEVLET,KARAMAN,2819,2386,2996,3704,320,228,5,9,6140,6327,12467
KARAMANOGLU MEHMETBEY UNIVERSITESI,2015-2014,DEVLET,KARAMAN,2403,1923,2703,3539,216,150,6,12,5328,5624,10952
KASTAMONU UNIVERSITESI,2019-2018,DEVLET,KASTAMONU,5599,3568,8433,8461,2687,1414,244,107,16963,13550,30513
KASTAMONU UNIVERSITESI,2018-2017,DEVLET,KASTAMONU,7147,3644,7210,7983,2018,844,201,87,16576,12558,29134
KASTAMONU UNIVERSITESI,2017-2016,DEVLET,KASTAMONU,7575,3688,6196,7501,1061,675,154,61,14986,11925,26911
KASTAMONU UNIVERSITESI,2016-2015,DEVLET,KASTAMONU,6919,3433,5116,6577,681,474,115,47,12831,10531,23362
KASTAMONU UNIVERSITESI,2015-2014,DEVLET,KASTAMONU,6449,3250,4176,5736,466,299,45,29,11136,9314,20450
KAYSERI UNIVERSITESI,2019-2018,DEVLET,KAYSERI,9358,3898,811,611,62,36,3,3,10234,4548,14782
KILIS 7 ARALIK UNIVERSITESI,2019-2018,DEVLET,KILIS,1459,1237,2534,3237,225,140,1,0,4219,4614,8833
KILIS 7 ARALIK UNIVERSITESI,2018-2017,DEVLET,KILIS,1795,1311,2498,3206,231,104,1,2,4525,4623,9148
KILIS 7 ARALIK UNIVERSITESI,2017-2016,DEVLET,KILIS,1379,1077,2365,3157,94,50,0,1,3838,4285,8123
KILIS 7 ARALIK UNIVERSITESI,2016-2015,DEVLET,KILIS,1339,1145,2543,3371,98,50,1,1,3981,4567,8548
KILIS 7 ARALIK UNIVERSITESI,2015-2014,DEVLET,KILIS,1179,963,2228,3078,93,58,2,2,3502,4101,7603
KIRIKKALE UNIVERSITESI,2019-2018,DEVLET,KIRIKKALE,5338,3001,11894,12602,1745,1268,393,186,19370,17057,36427
KIRIKKALE UNIVERSITESI,2018-2017,DEVLET,KIRIKKALE,8075,3413,11426,12389,2387,1307,411,177,22299,17286,39585
KIRIKKALE UNIVERSITESI,2017-2016,DEVLET,KIRIKKALE,8019,3229,10366,11623,2557,1311,415,172,21357,16335,37692
KIRIKKALE UNIVERSITESI,2016-2015,DEVLET,KIRIKKALE,7167,3005,9310,10415,2096,1188,366,157,18939,14765,33704
KIRIKKALE UNIVERSITESI,2015-2014,DEVLET,KIRIKKALE,6351,2723,8562,9475,1684,1018,330,138,16927,13354,30281
KIRKLARELI UNIVERSITESI,2019-2018,DEVLET,KIRKLARELI,5793,4232,5410,6148,722,421,11,12,11936,10813,22749
KIRKLARELI UNIVERSITESI,2018-2017,DEVLET,KIRKLARELI,8285,5567,4862,5963,801,361,15,10,13963,11901,25864
KIRKLARELI UNIVERSITESI,2017-2016,DEVLET,KIRKLARELI,8723,5774,4068,5457,379,286,14,5,13184,11522,24706
KIRKLARELI UNIVERSITESI,2016-2015,DEVLET,KIRKLARELI,7979,5424,3153,4731,293,224,13,3,11438,10382,21820
KIRKLARELI UNIVERSITESI,2015-2014,DEVLET,KIRKLARELI,7056,4872,2400,3946,208,170,12,3,9676,8991,18667
KIRSEHIR AHI EVRAN UNIVERSITESI,2019-2018,DEVLET,KIRSEHIR,3676,2514,4411,5791,519,439,33,29,8639,8773,17412
KOC UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,0,0,3356,3157,376,430,323,305,4055,3892,7947
KOC UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,0,0,3039,3092,344,382,295,269,3678,3743,7421
KOC UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,0,0,3114,3314,466,455,311,270,3891,4039,7930
KOC UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,0,0,3357,3691,510,439,286,237,4153,4367,8520
KOC UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,0,0,2090,2352,329,287,211,161,2630,2800,5430
KOCAELI UNIVERSITESI,2019-2018,DEVLET,KOCAELI,15637,8593,23775,17466,2860,2105,637,450,42909,28614,71523
KOCAELI UNIVERSITESI,2018-2017,DEVLET,KOCAELI,23080,11795,22467,17109,3555,2172,669,447,49771,31523,81294
KOCAELI UNIVERSITESI,2017-2016,DEVLET,KOCAELI,23451,11993,21505,16699,3653,2021,650,372,49259,31085,80344
KOCAELI UNIVERSITESI,2016-2015,DEVLET,KOCAELI,21018,11489,21203,16725,3438,1841,561,332,46220,30387,76607
KOCAELI UNIVERSITESI,2015-2014,DEVLET,KOCAELI,20729,11304,20572,16992,2236,1223,399,234,43936,29753,73689
KONYA GIDA VE TARIM UNIVERSITESI,2019-2018,VAKIF,KONYA,0,0,157,163,41,31,0,0,198,194,392
KONYA GIDA VE TARIM UNIVERSITESI,2018-2017,VAKIF,KONYA,0,0,80,76,34,19,0,0,114,95,209
KONYA GIDA VE TARIM UNIVERSITESI,2017-2016,VAKIF,KONYA,0,0,32,37,23,10,0,0,55,47,102
KONYA TEKNIK UNIVERSITESI,2019-2018,DEVLET,KONYA,4805,1026,6294,2354,1248,500,304,93,12651,3973,16624
KTO KARATAY UNIVERSITESI,2019-2018,VAKIF,KONYA,244,650,2955,3639,296,293,29,12,3524,4594,8118
KTO KARATAY UNIVERSITESI,2018-2017,VAKIF,KONYA,184,487,2848,3150,358,233,16,9,3406,3879,7285
KTO KARATAY UNIVERSITESI,2017-2016,VAKIF,KONYA,104,224,2547,2479,418,194,6,4,3075,2901,5976
KTO KARATAY UNIVERSITESI,2016-2015,VAKIF,KONYA,50,85,1859,1487,345,155,2,3,2256,1730,3986
KTO KARATAY UNIVERSITESI,2015-2014,VAKIF,KONYA,37,73,1397,1006,220,88,1,2,1655,1169,2824
KUTAHYA DUMLUPINAR UNIVERSITESI,2019-2018,DEVLET,KUTAHYA,8652,5075,15195,12669,2466,1558,225,105,26538,19407,45945
KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,2019-2018,DEVLET,KUTAHYA,149,367,682,1527,7,28,6,7,844,1929,2773
LOKMAN HEKIM UNIVERSITESI,2019-2018,VAKIF,ANKARA,31,49,80,214,0,7,0,0,111,270,381
MALATYA TURGUT OZAL UNIVERSITESI,2019-2018,DEVLET,MALATYA,2292,1348,214,147,0,0,0,0,2506,1495,4001
MALTEPE UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,720,628,4135,4785,696,729,183,149,5734,6291,12025
MALTEPE UNIVERSITESI,2018-2017,VAKIF,ISTANBUL,635,557,4086,4863,1005,730,244,176,5970,6326,12296
MALTEPE UNIVERSITESI,2017-2016,VAKIF,ISTANBUL,603,532,3723,4546,1239,718,226,163,5791,5959,11750
MALTEPE UNIVERSITESI,2016-2015,VAKIF,ISTANBUL,478,442,3516,4172,1063,645,209,134,5266,5393,10659
MALTEPE UNIVERSITESI,2015-2014,VAKIF,ISTANBUL,351,331,3120,3865,706,506,157,123,4334,4825,9159
MANISA CEL?L BAYAR UNIVERSITESI,2019-2018,DEVLET,MANISA,9300,6325,15713,13195,1780,1546,263,238,27056,21304,48360
MANISA CEL?L BAYAR UNIVERSITESI,2018-2017,DEVLET,MANISA,12609,7839,15191,13005,2436,1757,316,248,30552,22849,53401
MANISA CEL?L BAYAR UNIVERSITESI,2017-2016,DEVLET,MANISA,13561,8274,13922,12300,2423,1802,298,241,30204,22617,52821
MARDIN ARTUKLU UNIVERSITESI,2019-2018,DEVLET,MARDIN,2768,2054,2277,2586,653,258,34,10,5732,4908,10640
MARDIN ARTUKLU UNIVERSITESI,2018-2017,DEVLET,MARDIN,2499,1637,1835,2267,637,209,33,11,5004,4124,9128
MARDIN ARTUKLU UNIVERSITESI,2017-2016,DEVLET,MARDIN,2502,1424,1472,1940,739,262,28,12,4741,3638,8379
MARDIN ARTUKLU UNIVERSITESI,2016-2015,DEVLET,MARDIN,2431,1394,1320,1672,608,252,23,14,4382,3332,7714
MARDIN ARTUKLU UNIVERSITESI,2015-2014,DEVLET,MARDIN,2157,1203,1161,1417,535,194,20,10,3873,2824,6697
MARMARA UNIVERSITESI,2019-2018,DEVLET,ISTANBUL,4510,3789,23503,24457,8678,8450,2258,1847,38949,38543,77492
MARMARA UNIVERSITESI,2018-2017,DEVLET,ISTANBUL,5758,4822,22847,24369,11396,9630,2506,1812,42507,40633,83140
MARMARA UNIVERSITESI,2017-2016,DEVLET,ISTANBUL,5367,4566,22567,24432,10952,9164,2510,1701,41396,39863,81259
MARMARA UNIVERSITESI,2016-2015,DEVLET,ISTANBUL,4745,4042,22174,24688,9858,8328,2363,1625,39140,38683,77823
MARMARA UNIVERSITESI,2015-2014,DEVLET,ISTANBUL,4129,3624,22072,25183,8749,7408,2186,1513,37136,37728,74864
MEF UNIVERSITESI,2019-2018,VAKIF,ISTANBUL,5,3,1324,1719,103,53,0,0,1432,1775,3207
